isophoton_pT	deltaR_jet12	inv_mass	jet1_Eta	jet2_Eta	isophoton_Phi	jet2_Phi	label
32.7542	2.140381491895779	103.82716481766032	-0.308151	-1.03129	2.90788	1.05397	1
17.5525	3.1373814972780183	163.73418289473824	-0.319806	-2.32899	-1.21977	-2.03848	1
35.7071	2.713559494866755	100.32452955924786	-1.12415	-0.288194	0.606079	2.34356	1
27.5281	1.5927596334137444	106.52364586485761	-0.921524	-1.48601	0.370684	2.37141	1
34.6296	1.3146118418854438	111.54431056396967	0.147285	-0.0323181	-0.810256	-2.36474	1
13.9784	1.585434859967763	87.76942733804067	0.341945	0.688746	1.23151	-0.7629	1
32.1536	1.9197518128411704	88.11071886404686	-0.858663	-1.53883	2.12276	-1.69899	1
23.9342	1.5012743707930274	92.26073196609704	1.33973	1.09565	-0.936372	1.07248	1
20.9017	1.215375523435336	117.5440418519799	-0.933267	-0.461044	-0.0481584	2.24009	1
35.9579	2.537530588042241	126.1413536636938	0.454294	-0.525073	-1.58448	0.294481	1
45.8476	2.8828481091094615	176.4795858097746	-1.22667	1.3334	-2.01551	2.18006	1
47.0051	2.0136358743231106	159.87753805241056	-0.640971	-2.23519	0.223219	-1.53165	1
17.3188	2.841716088452363	98.71549111493333	0.599799	-0.197414	-2.42473	1.14181	1
29.993	1.605292300867976	108.07799416356688	-0.740909	0.343142	-2.60989	1.66136	1
26.8549	1.8739919425976728	105.26893806112226	1.20058	-0.110559	-0.144904	-3.10295	1
45.6786	2.3527125501158612	117.86831790062334	0.458157	0.744428	-0.579273	0.922194	1
17.5447	1.9507718277651032	89.36472063177507	0.611719	0.62434	-3.04895	1.24788	1
27.5185	1.6243163405599292	110.02270667020105	0.204157	-0.28463	3.04243	-0.425879	1
34.3702	2.151995861099412	109.27308416325725	0.726621	-0.208214	1.71827	0.621732	1
20.7994	3.1031038474720756	110.15463451994337	-0.108498	-0.576234	-2.02855	1.82069	1
26.6912	2.134501481169343	93.20841963896287	1.26368	0.679395	-1.38703	1.14547	1
27.4268	1.176872234781669	112.18453763652101	-1.12166	-1.78059	-1.95256	2.02113	1
28.2952	1.9879373213994953	84.03074570241002	-1.23332	-0.993857	2.49076	0.316972	1
30.3109	1.838151363353954	85.26905971427159	2.02218	1.57773	1.4248	-2.87446	1
23.0892	2.5943254407882215	122.14642274521835	1.47798	2.02086	-1.72803	-1.58924	1
48.2803	2.3483326635852313	103.27792491658127	-1.3772	-0.342461	0.36457	2.86088	1
36.1893	1.8623142372746873	94.27939465186387	1.68497	1.50212	3.03945	1.6325	1
35.1806	2.8849752310375214	99.33939408064644	-1.45147	-2.23233	-2.56289	-0.22339	1
20.8272	1.9520550619972274	99.81128145541264	0.455543	1.21313	1.09551	-0.91502	1
15.1129	2.941399231011442	115.46377150015108	1.41906	1.02361	1.95632	2.15883	1
17.4104	0.6695046765512546	89.23414411318346	-0.285537	0.367995	2.38828	-2.16583	1
27.9139	1.7989490710756655	88.67753809058702	-2.20085	-1.48985	1.29386	0.237242	1
39.9019	1.4457973775161144	106.48126460889723	1.76024	1.11445	0.62064	3.00032	1
16.3639	2.76925927713405	108.43368471035876	-0.599437	-0.224229	3.09271	2.021	1
47.8342	2.522887569212112	132.30084867453797	0.844288	-1.00289	1.9117	-0.160921	1
31.1959	1.8034553082002134	96.57288022857782	1.73664	1.25397	-0.0193166	-1.40675	1
56.4266	2.161273471077951	228.94424527537248	0.995075	1.7243	-1.00104	-2.82414	1
54.6363	2.697559178857991	223.56623133238523	1.74922	0.390899	1.7244	1.03464	1
34.2421	1.6200147556553306	83.47135149235277	-0.980659	-1.30843	-2.9284	-0.624301	1
38.1284	1.440638505199576	110.29934942127947	0.636005	-0.650361	-0.541437	2.62362	1
40.7031	1.7184631049530854	96.43597462408637	-0.429521	-0.245502	1.56846	-0.337158	1
23.1033	2.2389601939672796	137.13415042668365	-0.480386	0.121735	2.94759	-1.36858	1
23.3588	1.9749878551831654	74.96584484548343	-1.0388	-1.376	2.39592	-1.39128	1
36.5621	1.6820533737765277	91.80255557666793	-0.917043	-1.26235	2.7217	-1.39248	1
32.1904	1.9321613615454065	90.23875797043235	-2.08172	-1.09944	-1.57786	2.51025	1
18.0851	1.966390328839568	87.32279069973768	1.82216	1.93918	-0.296223	-1.8715	1
16.7885	1.8467257674076138	102.70083837184924	-0.0880648	-0.355423	0.227763	-0.66208	1
29.4033	2.1193727620454124	122.36315482507383	-0.974134	-1.84694	-2.61934	1.44192	1
29.2813	1.909999211527586	95.16470541493098	-1.90368	-1.57208	2.51299	-1.76914	1
30.706	1.5379663523656817	94.73097335923661	-1.83201	-1.41059	-2.48461	-0.272643	1
28.119	1.7585865186848217	87.88387273991458	-0.252754	-0.833894	2.82511	0.50468	1
32.0772	1.938558326706215	90.88624663691641	1.2891	0.673569	1.26995	-2.74851	1
33.4861	1.7218205629217003	83.27126205164352	-2.22939	-1.48214	-1.2073	1.17888	1
32.1031	1.9324732065480237	99.99132287052862	-0.177156	0.170199	-2.31345	-0.540799	1
35.1247	2.158905672531572	108.45769345963383	1.14791	0.942118	-2.44629	2.28592	1
35.7772	2.8069327259704293	111.47633456401856	-0.69012	0.264308	-0.163561	1.3629	1
30.8267	1.6865680493428068	90.09520758248117	-0.1643	-0.754658	-0.651576	2.96247	1
28.4362	2.235479404004877	93.46283335181475	0.322649	1.00393	-1.45845	2.91733	1
26.0904	3.07023220857967	107.5490947394347	0.509548	0.816098	-2.83262	-2.01903	1
30.3079	2.667068310011148	81.39108887083096	-0.125793	-0.538934	1.02617	2.02133	1
34.4074	2.158265712280348	104.28728198038917	-0.864582	-1.01308	1.365	-0.297159	1
23.9942	2.310551984263717	95.86157950539933	-0.114481	-0.825858	-0.951165	2.89201	1
32.1594	0.9673286873467568	84.18313751042305	0.640888	1.54998	1.50558	2.42506	1
27.4188	1.6478041565371173	93.88702824373343	-1.07035	-0.673385	3.04421	-1.00272	1
