isophoton_Eta	isophoton_Phi	jet1_Eta	jet1_Phi	jet2_Eta	jet2_Phi
-1.65646	-0.819668	-0.952127	1.24635	-0.861352	-3.13253
0.0209324	1.43147	-0.178236	-1.46127	-0.509742	2.50463
0.433891	1.29329	2.24004	-1.8557	-0.776515	-0.289744
-0.00168437	1.39417	0.998637	-2.38864	0.698369	-0.559993
0.678751	-0.221954	0.728951	-2.47041	1.15364	2.40343
-0.574488	3.13285	-0.267806	0.751371	-0.566439	-0.347618
-1.46185	1.66078	-0.910469	-1.13972	-1.47198	-2.56752
1.35256	0.763184	1.29036	-1.80325	1.63996	2.80163
0.601393	-0.997997	1.36882	2.86537	0.883431	1.32962
1.76068	1.52753	1.25832	-1.77663	1.38379	-0.224015
-2.01951	1.98129	-0.276369	-0.737677	-1.25561	-2.8353
1.32539	1.04674	-0.0016803	-1.37518	0.0811913	2.84377
-1.99674	-2.18775	-0.37829	0.768645	-0.463701	-3.05246
1.45172	0.651702	1.16423	-1.70922	1.80188	2.77871
0.280024	-1.57854	0.19463	-3.07147	0.0541061	1.19498
0.333377	-1.10022	-0.299361	2.39809	-0.40861	-0.0642954
2.0549	-1.35357	0.834757	1.98076	1.44571	-1.21955
0.644039	-2.21063	1.16673	2.734	1.75141	0.886279
-0.400295	-0.951955	0.0355212	2.61843	-0.0591957	0.781594
1.3563	2.46287	1.11724	-1.28093	1.73822	0.347163
0.712288	0.343255	-0.121196	-1.67291	-0.335037	2.61957
-1.29818	-2.79066	-2.17616	0.919364	-1.37477	-0.394987
-0.969589	1.24702	0.156131	-2.66627	-0.472789	-1.11521
-0.942369	-3.00928	0.123418	-0.663046	-0.387458	-0.530697
-2.15939	0.894418	-1.58558	-3.0886	-1.27624	-1.55627
2.03001	-2.4232	0.942204	0.537834	1.31681	1.8813
-2.40809	-0.933128	-2.23995	3.12713	-2.07084	1.40336
0.149982	0.360388	-0.919903	2.07336	-1.44738	-1.69767
-0.943907	-1.34355	1.32292	1.08847	1.15844	-2.39319
0.965824	-2.70792	1.76245	0.834204	2.15872	-2.14614
2.23961	-2.18606	0.381748	-0.147824	-0.0411653	1.80345
0.733952	-1.36662	1.04096	1.32893	0.885739	-2.86133
0.61794	1.38765	-0.398883	-2.43005	-0.445357	-1.18695
0.000715385	-1.27203	0.434717	-2.54931	1.74048	0.780847
-0.891844	-1.63405	0.881387	2.63555	-1.26521	0.631099
-2.29976	-2.85355	-1.23964	-1.63062	0.00336097	0.628394
1.38891	2.6018	0.125154	2.54557	-0.37678	-0.0841222
-2.28809	-2.99716	-2.00356	-0.395624	-1.12963	1.26491
2.31723	2.82645	1.22996	-0.702475	0.928841	0.98748
-1.41581	1.81287	-1.66593	-3.11833	-1.7386	-1.17138
1.86046	-1.0349	0.756221	2.94961	1.42857	2.25166
1.9915	0.999305	1.97008	-2.4692	2.0727	0.254884
0.425314	0.402322	0.478791	3.10128	0.671555	2.74351
1.32638	-2.75248	0.649765	0.42792	-0.434876	1.69055
-0.205279	0.336468	-1.76934	3.05231	-2.3866	0.148433
-0.237515	1.17167	-1.20079	-0.939492	-0.483244	-2.82367
-1.56127	2.41947	0.266573	-0.691859	-0.502026	3.07425
-0.542596	0.614895	1.06424	-0.555773	-1.39977	-2.17435
2.16621	-0.22506	0.25705	0.797789	1.42048	-2.30026
-0.51832	-0.574859	-1.11167	1.7791	-1.62246	2.68197
0.0263796	-0.98804	0.2218	2.69667	2.40225	0.78656
0.499511	-0.806915	2.44136	-1.04581	1.14344	1.8067
1.28346	-2.70134	-1.02583	-1.87164	-0.473511	-0.202718
-0.70859	1.67885	-0.371722	-2.66091	-1.3588	-1.017
-1.35737	-0.821121	2.19911	2.16868	-1.77046	0.459165
-1.36447	0.226059	-1.20191	2.59801	-1.71434	-2.28893
0.320617	0.512738	-0.278014	-1.29317	-0.271288	3.10061
-0.0941287	-1.58059	0.851535	2.27469	0.916228	2.7244
-0.56287	-1.76555	-1.6051	1.43996	-2.05038	-0.809302
-0.99768	3.12969	-0.847532	-0.162634	-0.735501	1.57592
1.67075	-0.692974	1.32778	2.64336	-0.0154293	0.318703
-0.865142	1.76091	0.817429	-1.47599	1.06033	-2.06283
-0.489554	0.658188	-0.134751	-1.54904	-0.336443	-2.77879
-2.24458	2.63001	-2.03519	-2.03767	-1.97299	-1.49799
-0.624781	0.529331	-1.46212	-2.75354	-1.81748	1.94196
-1.74976	0.678115	-2.40778	2.93097	-2.22739	-1.47731
0.929214	-1.47548	1.06752	1.73365	0.601741	-0.543045
0.606295	-0.560511	-0.356811	-3.13538	0.132635	0.740669
0.122043	1.55526	-0.861081	-0.943178	-1.24407	3.09827
-0.745371	-1.2007	-0.300022	2.13235	-0.561478	-0.066325
-1.29312	-1.79693	-0.922057	-0.0585933	1.18519	2.8854
0.664983	-0.193632	1.42953	-2.60371	0.978864	1.78407
-2.41318	1.42539	-1.27053	2.71452	-1.3762	-0.513648
0.108385	-1.06185	-0.870875	1.63051	0.106483	-2.21589
-2.09748	1.86334	-1.86355	-2.29461	-2.18263	-0.360816
-1.17834	-0.737864	-0.185791	2.78333	-1.27107	1.86868
